ID,Line,Severity,Issue summary,Issue description,Property names,Property values,Error blocks capability,Capabilities
insp_80398b0f-5029-4a64-9b50-3e6fb12e445d,202663,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_9ddf7919-424d-4e1a-a315-841491b5b95f,202567,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_d55a0100-3ca3-4c9d-a775-78db795153e9,202555,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_938a8c66-4cda-4a71-9f22-1bbb29937471,201655,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_c1227cbb-08f8-4354-a615-44b83dc7ec1b,201811,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_1a59eda8-b2c1-44a5-a748-8049f12bf229,202771,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_c4a04ade-2d3c-4186-a47a-1d1a5ea89181,202471,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_397ef56c-781e-4eff-a623-e956fc0dd6d7,201895,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_cbc60555-8984-4c06-9443-f938c9f0b769,202003,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_38970518-9b03-44db-bd0e-0a118ddac177,202075,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
